review_id,provider_id,clinic_id,reviewer_first_name,reviewer_initial,reviewer_age_range,reviewer_city,rating,review_title,review_text,treatment_tag,review_date,source_platform,source_url,response_from_provider,response_date
rev-50000448,prov-ca-00022,clinic-ca-00010,Hana,B,30-34,Beverly Grove,5,Great masseter result,The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Kybella,2025-02-21,zocdoc,https://google.example/r/448,"We appreciate the kind words, it was a pleasure caring for you.",2026-05-18
rev-50000449,prov-ca-00022,clinic-ca-00010,Victor,T,50-54,Brentwood,5,Clean and professional,Explained every step and never upsold me. No one has guessed I had anything done.,Kybella,2025-09-23,yelp,https://zocdoc.example/r/449,,
rev-50000450,prov-ca-00022,clinic-ca-00010,Olivia,F,30-34,Beverly Grove,5,Great masseter result,Explained every step and never upsold me. I finally look as rested as I feel.,Botox,2025-08-29,zocdoc,https://google.example/r/450,,
rev-50000451,prov-ca-00022,clinic-ca-00010,Theo,D,30-34,Silver Lake,5,Felt heard and informed,Booked a consult first and felt zero pressure. Exactly the balanced look I wanted.,Lip Filler,2024-06-23,healthgrades,https://zocdoc.example/r/451,,
rev-50000452,prov-ca-00022,clinic-ca-00010,Renee,C,25-29,Brentwood,5,Subtle and balanced,The whole team was warm and the office was spotless. The result is subtle and natural.,Botox,2024-12-28,zocdoc,https://google.example/r/452,,
rev-50000453,prov-ca-00022,clinic-ca-00010,Adrian,S,55-59,West Hollywood,5,Felt heard and informed,Explained every step and never upsold me. The result is subtle and natural.,Kybella,2025-10-28,google,https://clinic_site.example/r/453,,
rev-50000454,prov-ca-00022,clinic-ca-00010,Noah,R,50-54,Studio City,5,Worth every penny,Walked me through the plan and the pricing up front. The result is subtle and natural.,Lip Filler,2026-05-31,healthgrades,https://healthgrades.example/r/454,,
rev-50000455,prov-ca-00022,clinic-ca-00010,Aaron,M,45-49,West Hollywood,5,Great masseter result,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Botox,2024-10-23,clinic_site,https://google.example/r/455,,
rev-50000456,prov-ca-00022,clinic-ca-00010,Olivia,N,55-59,Studio City,5,Great masseter result,Explained every step and never upsold me. Already booked my follow-up.,Lip Filler,2024-07-06,clinic_site,https://clinic_site.example/r/456,"Thank you so much, see you at your next visit.",2024-09-30
rev-50000457,prov-ca-00022,clinic-ca-00010,James,J,50-54,Brentwood,5,Will be back,The whole team was warm and the office was spotless. Healed fast with barely any bruising.,Kybella,2026-04-13,zocdoc,https://clinic_site.example/r/457,"Thank you so much, see you at your next visit.",2024-09-25
rev-50000458,prov-ca-00022,clinic-ca-00010,Sofia,C,55-59,Beverly Grove,5,Will be back,The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Kybella,2025-07-05,clinic_site,https://vitals.example/r/458,"Thank you, we are glad you love your results.",2025-04-03
rev-50000459,prov-ca-00023,clinic-ca-00010,Felix,L,50-54,Beverly Grove,5,Felt heard and informed,Honest about what would and would not help. The result is subtle and natural.,Kybella,2025-03-15,google,https://healthgrades.example/r/459,,
rev-50000460,prov-ca-00023,clinic-ca-00010,Isabel,F,40-44,Beverly Grove,5,Clean and professional,Explained every step and never upsold me. No one has guessed I had anything done.,Xeomin,2025-10-24,google,https://zocdoc.example/r/460,"We appreciate the kind words, it was a pleasure caring for you.",2024-07-20
rev-50000461,prov-ca-00023,clinic-ca-00010,Noah,F,30-34,Studio City,5,Subtle and balanced,Explained every step and never upsold me. No one has guessed I had anything done.,Kybella,2025-05-14,vitals,https://clinic_site.example/r/461,,
rev-50000462,prov-ca-00023,clinic-ca-00010,Selena,E,50-54,Silver Lake,2,Great masseter result,Walked me through the plan and the pricing up front. The result is subtle and natural.,Kybella,2024-08-10,healthgrades,https://zocdoc.example/r/462,"We appreciate the kind words, it was a pleasure caring for you.",2025-08-22
rev-50000463,prov-ca-00023,clinic-ca-00010,Olivia,B,25-29,Brentwood,4,Worth every penny,The whole team was warm and the office was spotless. Healed fast with barely any bruising.,Xeomin,2025-08-08,vitals,https://clinic_site.example/r/463,,
rev-50000464,prov-ca-00023,clinic-ca-00010,Tessa,B,40-44,Silver Lake,5,So happy with my results,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Kybella,2025-03-08,yelp,https://clinic_site.example/r/464,,
rev-50000465,prov-ca-00023,clinic-ca-00010,Ruben,H,50-54,Brentwood,5,"Looks like me, just rested",Walked me through the plan and the pricing up front. Already booked my follow-up.,Xeomin,2024-09-24,healthgrades,https://zocdoc.example/r/465,,
rev-50000466,prov-ca-00023,clinic-ca-00010,Sofia,H,50-54,Studio City,5,Subtle and balanced,Booked a consult first and felt zero pressure. The result is subtle and natural.,Xeomin,2026-04-01,clinic_site,https://yelp.example/r/466,"Thank you so much, see you at your next visit.",2025-12-14
rev-50000467,prov-ca-00023,clinic-ca-00010,Hana,W,25-29,West Hollywood,5,Will be back,The whole team was warm and the office was spotless. No one has guessed I had anything done.,Kybella,2026-05-30,healthgrades,https://yelp.example/r/467,"Thank you, we are glad you love your results.",2025-01-09
rev-50000468,prov-ca-00023,clinic-ca-00010,Camila,M,45-49,Beverly Grove,5,"Looks like me, just rested",Walked me through the plan and the pricing up front. Already booked my follow-up.,Xeomin,2025-04-28,healthgrades,https://zocdoc.example/r/468,,
rev-50000469,prov-ca-00023,clinic-ca-00010,Selena,F,35-39,Brentwood,5,Worth every penny,Took the time to map my face before any injection. I finally look as rested as I feel.,Xeomin,2025-04-12,google,https://healthgrades.example/r/469,,
rev-50000470,prov-ca-00023,clinic-ca-00010,Isabel,N,35-39,Brentwood,5,Best in the city,Took the time to map my face before any injection. No one has guessed I had anything done.,Kybella,2025-12-13,google,https://google.example/r/470,,
rev-50000471,prov-ca-00023,clinic-ca-00010,Maya,L,25-29,Silver Lake,2,Conservative approach I trust,The whole team was warm and the office was spotless. The result is subtle and natural.,Kybella,2025-02-22,zocdoc,https://clinic_site.example/r/471,"Thank you so much, see you at your next visit.",2025-01-23
rev-50000472,prov-ca-00023,clinic-ca-00010,Omar,P,45-49,West Hollywood,5,Great masseter result,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Kybella,2025-07-20,healthgrades,https://google.example/r/472,,
rev-50000473,prov-ca-00023,clinic-ca-00010,Miles,F,45-49,Studio City,4,Subtle and balanced,Honest about what would and would not help. Healed fast with barely any bruising.,Xeomin,2026-01-29,yelp,https://yelp.example/r/473,,
rev-50000474,prov-ca-00023,clinic-ca-00010,Sofia,F,40-44,West Hollywood,5,Worth every penny,Took the time to map my face before any injection. Healed fast with barely any bruising.,Kybella,2025-08-08,clinic_site,https://vitals.example/r/474,,
rev-50000475,prov-ca-00023,clinic-ca-00010,Grace,B,30-34,Brentwood,5,Clean and professional,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Xeomin,2024-08-18,clinic_site,https://google.example/r/475,,
rev-50000476,prov-ca-00023,clinic-ca-00010,Omar,T,30-34,West Hollywood,4,Conservative approach I trust,Honest about what would and would not help. The result is subtle and natural.,Xeomin,2025-01-06,vitals,https://yelp.example/r/476,,
rev-50000477,prov-ca-00023,clinic-ca-00010,Sofia,R,30-34,Beverly Grove,4,No more downtime worries,Honest about what would and would not help. The result is subtle and natural.,Xeomin,2024-09-01,clinic_site,https://yelp.example/r/477,"Thank you so much, see you at your next visit.",2025-10-21
rev-50000478,prov-ca-00023,clinic-ca-00010,Renee,J,35-39,Silver Lake,2,Great masseter result,Honest about what would and would not help. Exactly the balanced look I wanted.,Kybella,2025-03-10,yelp,https://zocdoc.example/r/478,,
rev-50000479,prov-ca-00023,clinic-ca-00010,Dahlia,W,25-29,Beverly Grove,5,So happy with my results,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Xeomin,2024-06-27,clinic_site,https://google.example/r/479,,
rev-50000480,prov-ca-00023,clinic-ca-00010,Leo,D,25-29,Beverly Grove,5,Best in the city,Explained every step and never upsold me. No one has guessed I had anything done.,Xeomin,2026-03-16,clinic_site,https://google.example/r/480,,
rev-50000481,prov-ca-00023,clinic-ca-00010,Nina,J,50-54,Brentwood,5,Great masseter result,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Kybella,2026-01-24,healthgrades,https://clinic_site.example/r/481,"We appreciate the kind words, it was a pleasure caring for you.",2024-12-19
rev-50000482,prov-ca-00023,clinic-ca-00010,Daniel,F,30-34,Brentwood,5,Conservative approach I trust,Explained every step and never upsold me. The result is subtle and natural.,Xeomin,2026-02-25,vitals,https://google.example/r/482,,
rev-50000483,prov-ca-00024,clinic-ca-00010,Nadia,F,30-34,Silver Lake,5,Great masseter result,Explained every step and never upsold me. The result is subtle and natural.,Tear Trough,2024-09-20,yelp,https://yelp.example/r/483,,
rev-50000484,prov-ca-00024,clinic-ca-00010,Ruben,S,30-34,Beverly Grove,1,Clean and professional,Walked me through the plan and the pricing up front. Already booked my follow-up.,Masseter Botox,2024-10-29,clinic_site,https://google.example/r/484,,
rev-50000485,prov-ca-00024,clinic-ca-00010,Bianca,A,45-49,Brentwood,5,So happy with my results,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Masseter Botox,2026-02-09,vitals,https://healthgrades.example/r/485,,
rev-50000486,prov-ca-00024,clinic-ca-00010,Anya,S,40-44,Studio City,5,Natural and exactly right,Booked a consult first and felt zero pressure. The result is subtle and natural.,Tear Trough,2026-02-06,clinic_site,https://google.example/r/486,,
rev-50000487,prov-ca-00024,clinic-ca-00010,Selena,M,40-44,Silver Lake,5,Great masseter result,Honest about what would and would not help. No one has guessed I had anything done.,Masseter Botox,2024-08-05,google,https://clinic_site.example/r/487,,
rev-50000488,prov-ca-00024,clinic-ca-00010,Renee,H,30-34,West Hollywood,5,Great masseter result,Explained every step and never upsold me. Already booked my follow-up.,Thread Lift,2025-01-22,zocdoc,https://healthgrades.example/r/488,,
rev-50000489,prov-ca-00024,clinic-ca-00010,Anya,B,25-29,West Hollywood,5,Great masseter result,Walked me through the plan and the pricing up front. The result is subtle and natural.,Tear Trough,2024-06-26,healthgrades,https://zocdoc.example/r/489,"Thank you, we are glad you love your results.",2025-11-25
rev-50000490,prov-ca-00025,clinic-ca-00011,Adrian,N,55-59,Marina District,5,So happy with my results,Booked a consult first and felt zero pressure. Already booked my follow-up.,Xeomin,2024-12-12,clinic_site,https://zocdoc.example/r/490,,
rev-50000491,prov-ca-00025,clinic-ca-00011,Paul,B,25-29,SoMa,5,Clean and professional,Explained every step and never upsold me. Healed fast with barely any bruising.,Xeomin,2025-03-17,google,https://yelp.example/r/491,,
rev-50000492,prov-ca-00025,clinic-ca-00011,Selena,J,25-29,Pacific Heights,5,Natural and exactly right,Walked me through the plan and the pricing up front. Already booked my follow-up.,Xeomin,2025-05-04,zocdoc,https://clinic_site.example/r/492,"Thank you, we are glad you love your results.",2025-07-04
rev-50000493,prov-ca-00025,clinic-ca-00011,David,E,55-59,Pacific Heights,5,Natural and exactly right,Explained every step and never upsold me. The result is subtle and natural.,Cheek Filler,2025-04-10,google,https://zocdoc.example/r/493,"Thank you so much, see you at your next visit.",2026-04-03
rev-50000494,prov-ca-00025,clinic-ca-00011,Omar,H,35-39,Pacific Heights,5,Best in the city,Explained every step and never upsold me. Already booked my follow-up.,Xeomin,2026-04-05,vitals,https://vitals.example/r/494,,
rev-50000495,prov-ca-00025,clinic-ca-00011,Ethan,H,35-39,Nob Hill,5,Best in the city,Booked a consult first and felt zero pressure. The result is subtle and natural.,Microneedling,2026-04-14,healthgrades,https://yelp.example/r/495,,
rev-50000496,prov-ca-00025,clinic-ca-00011,Olivia,H,30-34,SoMa,5,So happy with my results,Honest about what would and would not help. Healed fast with barely any bruising.,Xeomin,2025-06-24,healthgrades,https://clinic_site.example/r/496,,
rev-50000497,prov-ca-00026,clinic-ca-00011,Aaron,R,35-39,Hayes Valley,5,Will be back,Took the time to map my face before any injection. Exactly the balanced look I wanted.,PRP,2026-03-11,healthgrades,https://zocdoc.example/r/497,"Thank you, we are glad you love your results.",2024-11-30
rev-50000498,prov-ca-00026,clinic-ca-00011,Miles,F,25-29,Nob Hill,5,"Looks like me, just rested",Walked me through the plan and the pricing up front. The result is subtle and natural.,Kybella,2025-09-23,clinic_site,https://zocdoc.example/r/498,,
rev-50000499,prov-ca-00026,clinic-ca-00011,Aaron,N,30-34,SoMa,5,Worth every penny,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Kybella,2025-05-06,vitals,https://healthgrades.example/r/499,,
rev-50000500,prov-ca-00026,clinic-ca-00011,Grace,D,40-44,Nob Hill,5,Subtle and balanced,Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,PRP,2024-06-20,vitals,https://vitals.example/r/500,,
rev-50000501,prov-ca-00026,clinic-ca-00011,Aaron,K,45-49,SoMa,5,Will be back,The whole team was warm and the office was spotless. The result is subtle and natural.,Thread Lift,2025-01-04,vitals,https://clinic_site.example/r/501,"Thank you, we are glad you love your results.",2026-05-20
rev-50000502,prov-ca-00026,clinic-ca-00011,David,A,40-44,Hayes Valley,5,No more downtime worries,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Kybella,2026-04-14,vitals,https://zocdoc.example/r/502,"We appreciate the kind words, it was a pleasure caring for you.",2025-12-11
rev-50000503,prov-ca-00026,clinic-ca-00011,Selena,M,45-49,SoMa,5,Subtle and balanced,Booked a consult first and felt zero pressure. No one has guessed I had anything done.,Thread Lift,2026-01-01,vitals,https://healthgrades.example/r/503,,
rev-50000504,prov-ca-00026,clinic-ca-00011,Camila,K,25-29,Hayes Valley,5,No more downtime worries,Booked a consult first and felt zero pressure. The result is subtle and natural.,PRP,2024-06-30,yelp,https://zocdoc.example/r/504,,
rev-50000505,prov-ca-00026,clinic-ca-00011,Sarah,K,55-59,Pacific Heights,5,Natural and exactly right,Booked a consult first and felt zero pressure. No one has guessed I had anything done.,PRP,2025-06-22,clinic_site,https://clinic_site.example/r/505,,
rev-50000506,prov-ca-00026,clinic-ca-00011,Maya,G,40-44,Hayes Valley,5,Worth every penny,Booked a consult first and felt zero pressure. Already booked my follow-up.,Thread Lift,2024-09-02,google,https://zocdoc.example/r/506,"Thank you so much, see you at your next visit.",2025-09-06
rev-50000507,prov-ca-00026,clinic-ca-00011,Paul,D,50-54,Pacific Heights,5,"Looks like me, just rested",Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,Kybella,2025-07-06,google,https://google.example/r/507,"Thank you so much, see you at your next visit.",2025-12-13
rev-50000508,prov-ca-00026,clinic-ca-00011,David,H,45-49,Pacific Heights,5,Best in the city,The whole team was warm and the office was spotless. The result is subtle and natural.,Thread Lift,2025-04-21,yelp,https://yelp.example/r/508,,
rev-50000509,prov-ca-00026,clinic-ca-00011,Jonah,E,25-29,Nob Hill,4,Worth every penny,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,PRP,2025-04-12,vitals,https://vitals.example/r/509,"Thank you, we are glad you love your results.",2025-08-25
rev-50000510,prov-ca-00026,clinic-ca-00011,Elena,N,55-59,Hayes Valley,5,Will be back,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Kybella,2024-12-26,google,https://yelp.example/r/510,,
rev-50000511,prov-ca-00026,clinic-ca-00011,Aaron,H,30-34,Pacific Heights,5,So happy with my results,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,PRP,2026-04-25,clinic_site,https://clinic_site.example/r/511,"Thank you, we are glad you love your results.",2025-03-21
rev-50000512,prov-ca-00026,clinic-ca-00011,Caleb,C,40-44,Nob Hill,5,Will be back,Booked a consult first and felt zero pressure. Already booked my follow-up.,PRP,2025-03-04,vitals,https://vitals.example/r/512,"Thank you, we are glad you love your results.",2025-06-11
rev-50000513,prov-ca-00026,clinic-ca-00011,Lara,J,40-44,Pacific Heights,5,Subtle and balanced,The whole team was warm and the office was spotless. The result is subtle and natural.,Kybella,2025-05-12,vitals,https://clinic_site.example/r/513,,
rev-50000514,prov-ca-00026,clinic-ca-00011,Theo,D,25-29,Pacific Heights,5,Clean and professional,Walked me through the plan and the pricing up front. Already booked my follow-up.,Thread Lift,2025-02-19,vitals,https://clinic_site.example/r/514,,
rev-50000515,prov-ca-00026,clinic-ca-00011,Leo,T,40-44,Pacific Heights,4,Great masseter result,Honest about what would and would not help. The result is subtle and natural.,Thread Lift,2025-03-19,zocdoc,https://yelp.example/r/515,,
rev-50000516,prov-ca-00026,clinic-ca-00011,Bianca,M,55-59,Nob Hill,4,Conservative approach I trust,Explained every step and never upsold me. I finally look as rested as I feel.,Thread Lift,2024-09-21,yelp,https://yelp.example/r/516,,
rev-50000517,prov-ca-00026,clinic-ca-00011,Ruben,G,55-59,Pacific Heights,4,Conservative approach I trust,The whole team was warm and the office was spotless. Already booked my follow-up.,PRP,2024-10-23,clinic_site,https://clinic_site.example/r/517,"Thank you, we are glad you love your results.",2024-09-17
rev-50000518,prov-ca-00027,clinic-ca-00011,Lara,T,50-54,Pacific Heights,5,Conservative approach I trust,Explained every step and never upsold me. Healed fast with barely any bruising.,Cheek Filler,2024-07-28,healthgrades,https://yelp.example/r/518,,
rev-50000519,prov-ca-00027,clinic-ca-00011,Marcus,P,35-39,Marina District,5,"Looks like me, just rested",Took the time to map my face before any injection. Already booked my follow-up.,Botox,2026-01-31,zocdoc,https://clinic_site.example/r/519,,
rev-50000520,prov-ca-00027,clinic-ca-00011,Sarah,A,55-59,Marina District,5,Great masseter result,Took the time to map my face before any injection. I finally look as rested as I feel.,Cheek Filler,2025-08-25,zocdoc,https://healthgrades.example/r/520,,
rev-50000521,prov-ca-00027,clinic-ca-00011,Felix,D,30-34,Hayes Valley,5,Natural and exactly right,Explained every step and never upsold me. The result is subtle and natural.,Cheek Filler,2025-02-25,healthgrades,https://vitals.example/r/521,,
rev-50000522,prov-ca-00027,clinic-ca-00011,Yara,F,40-44,Nob Hill,5,So happy with my results,Took the time to map my face before any injection. No one has guessed I had anything done.,Botox,2025-07-25,google,https://clinic_site.example/r/522,,
rev-50000523,prov-ca-00027,clinic-ca-00011,Miles,C,30-34,Hayes Valley,4,Best in the city,Took the time to map my face before any injection. Healed fast with barely any bruising.,Cheek Filler,2026-01-03,zocdoc,https://zocdoc.example/r/523,"Thank you, we are glad you love your results.",2025-04-12
rev-50000524,prov-ca-00027,clinic-ca-00011,Leo,A,25-29,Nob Hill,5,Worth every penny,Took the time to map my face before any injection. Already booked my follow-up.,Daxxify,2026-04-26,vitals,https://healthgrades.example/r/524,,
rev-50000525,prov-ca-00027,clinic-ca-00011,Claire,F,30-34,SoMa,5,Worth every penny,Honest about what would and would not help. Healed fast with barely any bruising.,Botox,2024-11-14,vitals,https://yelp.example/r/525,"We appreciate the kind words, it was a pleasure caring for you.",2025-08-14
rev-50000526,prov-ca-00027,clinic-ca-00011,Ethan,S,30-34,Hayes Valley,5,Felt heard and informed,Took the time to map my face before any injection. Already booked my follow-up.,Botox,2024-07-26,vitals,https://healthgrades.example/r/526,,
rev-50000527,prov-ca-00027,clinic-ca-00011,Bianca,D,45-49,Pacific Heights,1,Conservative approach I trust,Booked a consult first and felt zero pressure. The result is subtle and natural.,Cheek Filler,2026-03-31,vitals,https://yelp.example/r/527,,
rev-50000528,prov-ca-00027,clinic-ca-00011,Yara,T,45-49,SoMa,5,Clean and professional,Booked a consult first and felt zero pressure. Already booked my follow-up.,Botox,2024-10-07,vitals,https://zocdoc.example/r/528,,
rev-50000529,prov-ca-00027,clinic-ca-00011,Priya,B,35-39,Hayes Valley,5,Clean and professional,Honest about what would and would not help. Healed fast with barely any bruising.,Cheek Filler,2025-05-04,vitals,https://vitals.example/r/529,,
rev-50000530,prov-ca-00027,clinic-ca-00011,Felix,C,45-49,Nob Hill,5,So happy with my results,Took the time to map my face before any injection. No one has guessed I had anything done.,Botox,2025-12-30,google,https://vitals.example/r/530,,
rev-50000531,prov-ca-00027,clinic-ca-00011,Dahlia,R,40-44,Nob Hill,5,Natural and exactly right,The whole team was warm and the office was spotless. Already booked my follow-up.,Cheek Filler,2024-08-03,clinic_site,https://healthgrades.example/r/531,,
rev-50000532,prov-ca-00027,clinic-ca-00011,James,B,45-49,SoMa,4,So happy with my results,Took the time to map my face before any injection. No one has guessed I had anything done.,Daxxify,2025-01-21,yelp,https://google.example/r/532,,
rev-50000533,prov-ca-00027,clinic-ca-00011,Theo,P,35-39,Marina District,5,Clean and professional,Took the time to map my face before any injection. Healed fast with barely any bruising.,Daxxify,2026-02-24,healthgrades,https://clinic_site.example/r/533,,
rev-50000534,prov-ca-00027,clinic-ca-00011,Caleb,A,40-44,Hayes Valley,5,No more downtime worries,Took the time to map my face before any injection. I finally look as rested as I feel.,Botox,2026-05-16,yelp,https://zocdoc.example/r/534,,
rev-50000535,prov-ca-00027,clinic-ca-00011,Claire,L,40-44,Hayes Valley,5,Conservative approach I trust,Honest about what would and would not help. I finally look as rested as I feel.,Botox,2025-07-08,vitals,https://healthgrades.example/r/535,,
rev-50000536,prov-ca-00027,clinic-ca-00011,Nadia,G,40-44,Hayes Valley,5,Best in the city,Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,Botox,2025-03-13,clinic_site,https://clinic_site.example/r/536,,
rev-50000537,prov-ca-00027,clinic-ca-00011,Ethan,A,35-39,Marina District,5,Clean and professional,Honest about what would and would not help. Already booked my follow-up.,Daxxify,2024-09-02,google,https://yelp.example/r/537,,
rev-50000538,prov-ca-00028,clinic-ca-00012,Renee,E,45-49,Hillcrest,5,Great masseter result,The whole team was warm and the office was spotless. No one has guessed I had anything done.,Botox,2025-03-09,yelp,https://yelp.example/r/538,,
rev-50000539,prov-ca-00028,clinic-ca-00012,Camila,C,30-34,Little Italy,4,Clean and professional,Took the time to map my face before any injection. Exactly the balanced look I wanted.,Jawline Filler,2026-03-18,clinic_site,https://clinic_site.example/r/539,,
rev-50000540,prov-ca-00028,clinic-ca-00012,James,G,45-49,La Jolla,4,Great masseter result,Honest about what would and would not help. I finally look as rested as I feel.,Botox,2025-02-24,yelp,https://clinic_site.example/r/540,"Thank you so much, see you at your next visit.",2025-07-18
rev-50000541,prov-ca-00028,clinic-ca-00012,Miles,R,25-29,Little Italy,5,Clean and professional,The whole team was warm and the office was spotless. Healed fast with barely any bruising.,Botox,2025-10-02,clinic_site,https://yelp.example/r/541,,
rev-50000542,prov-ca-00028,clinic-ca-00012,Renee,K,35-39,La Jolla,4,Subtle and balanced,Walked me through the plan and the pricing up front. Already booked my follow-up.,Botox,2026-02-04,clinic_site,https://google.example/r/542,,
rev-50000543,prov-ca-00028,clinic-ca-00012,David,F,35-39,Hillcrest,5,No more downtime worries,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Botox,2024-11-29,vitals,https://clinic_site.example/r/543,,
rev-50000544,prov-ca-00028,clinic-ca-00012,Marcus,M,35-39,Hillcrest,5,Felt heard and informed,The whole team was warm and the office was spotless. Already booked my follow-up.,Botox,2025-10-22,vitals,https://zocdoc.example/r/544,,
rev-50000545,prov-ca-00028,clinic-ca-00012,Yara,L,25-29,La Jolla,5,Will be back,Explained every step and never upsold me. Healed fast with barely any bruising.,Botox,2025-12-01,google,https://yelp.example/r/545,,
rev-50000546,prov-ca-00028,clinic-ca-00012,Daniel,K,25-29,Little Italy,5,Felt heard and informed,Honest about what would and would not help. Exactly the balanced look I wanted.,Botox,2025-12-31,google,https://google.example/r/546,,
rev-50000547,prov-ca-00028,clinic-ca-00012,Bianca,L,55-59,Little Italy,5,"Looks like me, just rested",Honest about what would and would not help. Already booked my follow-up.,Jawline Filler,2025-08-18,yelp,https://yelp.example/r/547,,
rev-50000548,prov-ca-00028,clinic-ca-00012,Marcus,F,40-44,La Jolla,5,Best in the city,Took the time to map my face before any injection. The result is subtle and natural.,Botox,2025-11-09,google,https://zocdoc.example/r/548,,
rev-50000549,prov-ca-00028,clinic-ca-00012,Tessa,J,30-34,Hillcrest,5,Best in the city,Honest about what would and would not help. The result is subtle and natural.,Botox,2026-06-04,clinic_site,https://google.example/r/549,"Thank you, we are glad you love your results.",2025-07-01
rev-50000550,prov-ca-00028,clinic-ca-00012,Caleb,D,50-54,Gaslamp Quarter,5,Subtle and balanced,Honest about what would and would not help. Exactly the balanced look I wanted.,Botox,2025-10-14,yelp,https://vitals.example/r/550,,
rev-50000551,prov-ca-00028,clinic-ca-00012,Tessa,T,45-49,Hillcrest,5,No more downtime worries,The whole team was warm and the office was spotless. Already booked my follow-up.,Jawline Filler,2026-05-25,vitals,https://vitals.example/r/551,,
rev-50000552,prov-ca-00028,clinic-ca-00012,Nina,T,25-29,Little Italy,5,Will be back,Took the time to map my face before any injection. Already booked my follow-up.,Jawline Filler,2025-04-27,healthgrades,https://vitals.example/r/552,,
rev-50000553,prov-ca-00028,clinic-ca-00012,Adrian,F,40-44,Little Italy,5,Clean and professional,Explained every step and never upsold me. Healed fast with barely any bruising.,Botox,2024-10-30,zocdoc,https://google.example/r/553,,
rev-50000554,prov-ca-00028,clinic-ca-00012,Camila,K,55-59,Hillcrest,4,Great masseter result,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,Jawline Filler,2026-02-20,yelp,https://zocdoc.example/r/554,,
rev-50000555,prov-ca-00028,clinic-ca-00012,Ethan,G,45-49,Little Italy,2,So happy with my results,Took the time to map my face before any injection. Exactly the balanced look I wanted.,Botox,2024-09-09,clinic_site,https://clinic_site.example/r/555,"We appreciate the kind words, it was a pleasure caring for you.",2025-11-18
rev-50000556,prov-ca-00028,clinic-ca-00012,Yara,B,40-44,Hillcrest,5,Will be back,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Jawline Filler,2025-06-11,google,https://vitals.example/r/556,,
rev-50000557,prov-ca-00029,clinic-ca-00013,Diego,J,25-29,Studio City,5,Best in the city,Took the time to map my face before any injection. Exactly the balanced look I wanted.,Thread Lift,2025-09-07,yelp,https://healthgrades.example/r/557,,
rev-50000558,prov-ca-00029,clinic-ca-00013,Paul,K,50-54,Brentwood,5,Worth every penny,Honest about what would and would not help. Healed fast with barely any bruising.,Masseter Botox,2025-03-19,vitals,https://vitals.example/r/558,,
rev-50000559,prov-ca-00029,clinic-ca-00013,Elena,R,40-44,Studio City,4,Worth every penny,Explained every step and never upsold me. No one has guessed I had anything done.,Kybella,2024-12-19,google,https://yelp.example/r/559,,
rev-50000560,prov-ca-00029,clinic-ca-00013,Paul,S,50-54,Studio City,5,Felt heard and informed,Explained every step and never upsold me. Exactly the balanced look I wanted.,Thread Lift,2024-06-24,google,https://healthgrades.example/r/560,,
rev-50000561,prov-ca-00029,clinic-ca-00013,Leo,W,40-44,Beverly Grove,5,Felt heard and informed,Booked a consult first and felt zero pressure. Already booked my follow-up.,Dysport,2025-05-24,healthgrades,https://healthgrades.example/r/561,,
rev-50000562,prov-ca-00029,clinic-ca-00013,Diego,A,30-34,Brentwood,5,Conservative approach I trust,Booked a consult first and felt zero pressure. The result is subtle and natural.,Thread Lift,2026-02-13,google,https://healthgrades.example/r/562,,
rev-50000563,prov-ca-00029,clinic-ca-00013,Yara,S,40-44,Studio City,5,Best in the city,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Masseter Botox,2024-08-25,healthgrades,https://yelp.example/r/563,,
rev-50000564,prov-ca-00029,clinic-ca-00013,Ethan,D,30-34,Brentwood,5,No more downtime worries,Explained every step and never upsold me. The result is subtle and natural.,Dysport,2025-06-27,zocdoc,https://zocdoc.example/r/564,"Thank you so much, see you at your next visit.",2024-09-21
rev-50000565,prov-ca-00029,clinic-ca-00013,Daniel,R,25-29,Brentwood,5,Felt heard and informed,Walked me through the plan and the pricing up front. The result is subtle and natural.,Masseter Botox,2026-01-27,vitals,https://zocdoc.example/r/565,"We appreciate the kind words, it was a pleasure caring for you.",2025-10-06
